Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A6NDA1,HAUS augmin-like complex subunit 7 OS=Homo sapiens GN=HAUS7 PE=2 SV=1,HAUS7,3,6,127,14.218,4.73,2,0.999,0.953,0.678,0.559,0.293,0.169,0.064,0.073,0.058,0.069
A6NDB9,Paralemmin-3 OS=Homo sapiens GN=PALM3 PE=1 SV=2,PALM3,11,23,673,71.652,4.53,9,0.999,0.954,0.986,0.94,0.833,0.716,0.608,0.493,0.305,0.247
A6NDG6,Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1,PGP,61,422,321,33.985,6.14,192,0.999,0.978,1.011,0.961,0.901,0.741,0.637,0.533,0.435,0.229
A6NDS4,TBC1 domain family member 3B OS=Homo sapiens GN=TBC1D3B PE=2 SV=1,TBC1D3B,1,2,549,62.275,9.06,2,0.999,1.003,1.068,0.899,0.643,0.289,0.194,0.153,0.128,0.129
A6NDU8,UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1,C5orf51,17,47,294,33.599,5.26,21,0.999,1.001,0.941,0.837,0.466,0.202,0.116,0.081,0.086,0.084
A6NED2,RCC1 domain-containing protein 1 OS=Homo sapiens GN=RCCD1 PE=1 SV=1,RCCD1,26,71,376,40.054,5.27,35,0.999,1.013,1.019,0.952,0.835,0.573,0.3,0.186,0.133,0.12
A6NEE1,Pleckstrin homology domain-containing family D member 1 OS=Homo sapiens GN=PLEKHD1 PE=2 SV=3,PLEKHD1,1,1,506,59.166,6.44,1,0.999,0.973,0.978,0.959,0.683,0.409,0.194,0.133,0.118,0.139
A6NEM2,HCF N-terminal chain 5 OS=Homo sapiens GN=HCFC1 PE=4 SV=2,HCFC1,183,839,2080,213.343,7.33,23,0.999,1.019,1.031,0.91,0.793,0.542,0.326,0.149,0.142,0.105
A6NES4,HEAT repeat-containing protein 7B1 OS=Homo sapiens GN=HEATR7B1 PE=4 SV=3,HEATR7B1,3,4,1706,193.051,6.68,2,0.999,1.078,1.153,1.129,1.008,0.819,0.624,0.313,0.153,0.119
A6NF51,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=4 SV=2",BPNT1,59,345,291,31.687,5.54,27,0.999,0.931,1.004,0.995,0.815,0.765,0.634,0.567,0.426,0.206
A6NFI3,Zinc finger protein 316 OS=Homo sapiens GN=ZNF316 PE=1 SV=1,ZNF316,4,8,1004,108.37,5.31,4,0.999,1.037,0.911,0.716,0.448,0.296,0.174,0.138,0.145,0.169
A6NFT4,Coiled-coil domain-containing protein 42B OS=Homo sapiens GN=CCDC42B PE=2 SV=3,CCDC42B,4,4,308,35.892,7.52,3,0.999,1.056,1.011,0.899,0.64,0.459,0.341,0.373,0.344,0.426
A6NFV8,Dysbindin OS=Homo sapiens GN=DTNBP1 PE=2 SV=2,DTNBP1,11,40,352,39.611,4.67,19,0.999,0.998,0.998,0.873,0.728,0.506,0.325,0.162,0.108,0.123
A6NFX8,ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=2 SV=1,NUDT5,21,198,232,25.879,5.19,99,0.999,0.938,0.967,0.908,0.879,0.769,0.699,0.704,0.642,0.629
A6NGG8,Uncharacterized protein C2orf71 OS=Homo sapiens GN=C2orf71 PE=1 SV=1,C2orf71,1,1,1288,139.569,8.07,1,0.999,1.173,0.938,1.079,0.803,0.879,0.564,0.763,0.488,0.609
A6NGJ0,Dynein light chain Tctex-type 3 OS=Homo sapiens GN=DYNLT3 PE=4 SV=1,DYNLT3,4,12,152,16.968,5.92,5,0.999,0.982,1.001,0.925,0.721,0.43,0.35,0.248,0.158,0.122
A6NHB5,Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=4 SV=1,ZMYM3,13,29,1372,152.508,6.35,12,0.999,0.956,0.866,0.739,0.662,0.438,0.329,0.301,0.272,0.242
A6NHL2,Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2,TUBAL3,25,568,446,49.877,6.05,15,0.999,0.99,1.019,0.903,0.779,0.551,0.388,0.236,0.122,0.096
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,SMCHD1,165,341,2005,226.231,7.3,158,0.999,1.018,0.819,0.401,0.305,0.156,0.082,0.072,0.068,0.08
A6NHX0,GATS-like protein 2 OS=Homo sapiens GN=GATSL2 PE=2 SV=3,GATSL2,18,50,329,36.034,5.16,21,0.999,0.997,1,0.99,0.879,0.698,0.58,0.417,0.262,0.137
A6NI28,Rho GTPase-activating protein 42 OS=Homo sapiens GN=ARHGAP42 PE=1 SV=3,ARHGAP42,1,2,874,98.507,7.99,1,0.999,0.903,0.838,0.659,0.433,0.219,0.124,0.103,0.108,0.139
A6NI56,Coiled-coil domain-containing protein 154 OS=Homo sapiens GN=CCDC154 PE=2 SV=4,CCDC154,1,1,674,75.966,8.38,1,0.999,1.043,0.868,0.679,0.403,0.229,0.174,0.133,0.158,0.099
A6NIH7,Protein unc-119 homolog B OS=Homo sapiens GN=UNC119B PE=1 SV=1,UNC119B,30,106,251,28.119,5.68,39,0.999,1.01,0.961,0.792,0.473,0.231,0.144,0.108,0.093,0.104
A6NIV2,Mitochondrial import receptor subunit TOM7 homolog OS=Homo sapiens GN=TOMM7 PE=4 SV=2,TOMM7,2,7,125,14.265,9.83,1,0.999,0.953,0.938,0.849,0.833,0.749,0.954,0.843,0.918,1.039
A6NIW2,Dedicator of cytokinesis protein 11 OS=Homo sapiens GN=DOCK11 PE=2 SV=2,DOCK11,94,201,2077,237.946,7.78,87,0.999,1.027,0.955,0.861,0.486,0.247,0.143,0.098,0.098,0.094
A6NIX2,Wilms tumor protein 1-interacting protein OS=Homo sapiens GN=WTIP PE=1 SV=3,WTIP,1,1,430,45.095,8.12,1,0.999,0.943,1.008,0.869,0.833,0.689,0.474,0.363,0.368,0.209
A6NJ78,Probable methyltransferase-like protein 15 OS=Homo sapiens GN=METTL15 PE=2 SV=1,METTL15,16,31,407,46.092,8.62,15,0.999,1.112,0.876,0.688,0.375,0.21,0.12,0.099,0.095,0.115
A6NJG2,Ankyrin repeat domain-containing protein SOWAHD OS=Homo sapiens GN=SOWAHD PE=2 SV=1,SOWAHD,1,1,315,33.782,9.52,1,0.999,0.963,0.938,0.939,0.803,0.719,0.414,0.363,0.208,0.349
A6NJT0,Homeobox protein unc-4 homolog OS=Homo sapiens GN=UNCX PE=2 SV=1,UNCX,16,44,531,53.657,7.2,19,0.999,1.004,1.003,0.844,0.774,0.612,0.523,0.486,0.404,0.333
A6NK58,"Putative lipoyltransferase 2, mitochondrial OS=Homo sapiens GN=LIPT2 PE=3 SV=1",LIPT2,8,16,231,25.179,8.27,7,0.999,1.033,1.01,1.008,0.818,0.571,0.412,0.268,0.146,0.109
A6NK75,Zinc finger protein 98 OS=Homo sapiens GN=ZNF98 PE=2 SV=4,ZNF98,7,15,572,65.756,9.17,2,0.999,0.868,0.888,0.734,0.573,0.354,0.254,0.158,0.143,0.114
A6NKC9,SH2 domain-containing protein 7 OS=Homo sapiens GN=SH2D7 PE=2 SV=2,SH2D7,4,8,451,49.776,6.42,4,0.999,1.093,1.066,0.871,0.596,0.284,0.152,0.1,0.138,0.101
A6NKD9,Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1,CCDC85C,26,59,419,45.182,6.96,28,0.999,0.941,0.925,0.765,0.559,0.36,0.228,0.191,0.171,0.177
A6NKF1,SAC3 domain-containing protein 1 OS=Homo sapiens GN=SAC3D1 PE=1 SV=2,SAC3D1,10,19,404,43.526,8.69,11,0.999,1.035,0.911,0.725,0.406,0.216,0.107,0.099,0.107,0.104
A6NM62,Leucine-rich repeat-containing protein 53 OS=Homo sapiens GN=LRRC53 PE=4 SV=2,LRRC53,1,1,1247,140.654,7.91,1,0.999,1.063,0.948,0.789,0.663,0.319,0.124,0.123,0.118,0.079
A6NM71,Uncharacterized protein OS=Homo sapiens GN=WDR45 PE=4 SV=3,WDR45,11,22,292,31.499,8.82,10,0.999,1.002,0.954,0.941,0.781,0.603,0.424,0.254,0.18,0.147
A6NMB1,Sialic acid-binding Ig-like lectin 16 OS=Homo sapiens GN=SIGLEC16 PE=2 SV=3,SIGLEC16,1,2,481,52.958,9.03,1,0.999,0.953,0.928,0.969,0.823,0.519,0.374,0.183,0.188,0.179
A6NMH8,CD81 antigen OS=Homo sapiens GN=CD81 PE=4 SV=1,CD81,1,2,274,29.786,6.92,1,0.999,1.123,1.148,1.019,0.983,1.009,0.764,0.813,0.718,0.909
A6NMN0,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform OS=Homo sapiens GN=PHKA1 PE=2 SV=1",PHKA1,63,135,1240,138.965,6.18,56,0.999,0.973,0.897,0.717,0.444,0.201,0.106,0.088,0.081,0.09
A6NMQ1,DNA polymerase OS=Homo sapiens GN=POLA1 PE=2 SV=1,POLA1,153,474,1468,166.351,5.81,222,0.999,1,0.942,0.779,0.448,0.162,0.075,0.055,0.065,0.072
A6NMZ7,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2,COL6A6,3,6,2263,247.019,6.89,2,0.999,1.063,1.088,1.029,0.893,0.709,0.494,0.373,0.228,0.219
A6NN14,Zinc finger protein 729 OS=Homo sapiens GN=ZNF729 PE=2 SV=3,ZNF729,5,9,1173,135.658,9.5,1,0.999,0.883,0.938,0.929,0.653,0.349,0.184,0.133,0.078,0.129
A6NNU8,Nuclear receptor subfamily 0 group B member 1 OS=Homo sapiens GN=NR0B1 PE=2 SV=1,NR0B1,2,2,105,11.792,8.31,2,0.999,1.073,1.163,0.889,0.748,0.549,0.334,0.233,0.213,0.179
A6NNY8,Ubiquitin carboxyl-terminal hydrolase 27 OS=Homo sapiens GN=USP27X PE=2 SV=3,USP27X,2,6,438,49.598,7.18,1,0.999,0.873,0.818,0.769,0.403,0.169,0.004,0.023,0.068,0.069
A6NNZ2,Tubulin beta-8 chain-like protein LOC260334 OS=Homo sapiens PE=1 SV=1,-,10,599,444,49.541,4.86,1,0.999,0.943,0.928,0.919,0.713,0.519,0.434,0.213,0.088,0.059
A6PVN5,"Protein phosphatase 2A activator, regulatory subunit 4 OS=Homo sapiens GN=PPP2R4 PE=4 SV=1",PPP2R4,50,239,329,37.352,6.29,89,0.999,0.98,1.028,0.967,0.86,0.656,0.382,0.096,0.08,0.084
A6PW57,Phosphatidylinositol 4-phosphate 5-kinase type-1 alpha OS=Homo sapiens GN=PIP5K1A PE=4 SV=2,PIP5K1A,15,36,550,61.219,8.34,14,0.999,1.002,0.97,0.88,0.648,0.298,0.158,0.121,0.107,0.1
A6QL63,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 OS=Homo sapiens GN=BTBD11 PE=2 SV=3,BTBD11,2,4,1104,120.807,6.83,2,0.999,1.158,0.958,0.899,0.588,0.354,0.234,0.143,0.083,0.069
A6ZKI3,Protein FAM127A OS=Homo sapiens GN=FAM127A PE=1 SV=1,FAM127A,5,9,113,13.163,5.07,5,0.999,1.021,0.808,0.671,0.387,0.223,0.098,0.087,0.084,0.083
A7E2V4,Isoform 2 of Zinc finger SWIM domain-containing protein 8 OS=Homo sapiens GN=ZSWIM8,ZSWIM8,2,5,1892,201.395,6.58,3,0.999,1.033,1.088,1.049,0.598,0.329,0.209,0.128,0.098,0.119
A7KAX9,Rho GTPase-activating protein 32 OS=Homo sapiens GN=ARHGAP32 PE=1 SV=1,ARHGAP32,5,9,2087,230.385,6.74,5,0.999,1.05,0.95,0.897,0.719,0.518,0.326,0.197,0.098,0.104
A7MD48,Serine/arginine repetitive matrix protein 4 OS=Homo sapiens GN=SRRM4 PE=1 SV=2,SRRM4,1,1,611,68.518,11.75,1,0.999,0.943,0.978,0.869,0.893,0.699,0.584,0.403,0.308,0.109
A8K7Q2,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=2 SV=1,HSPA8,23,928,410,45.31,5.64,255,0.999,0.983,0.978,0.889,0.723,0.519,0.314,0.113,0.078,0.079
A8K8G0,Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=2 SV=1,HDGF,59,686,208,22.95,4.55,3,0.999,0.946,0.835,0.829,0.98,0.729,0.581,0.479,0.418,0.369
A8K8P3,Protein SFI1 homolog OS=Homo sapiens GN=SFI1 PE=1 SV=2,SFI1,2,8,1242,147.571,10.81,2,0.999,0.973,1.028,0.899,0.773,0.569,0.404,0.203,0.168,0.159
A8MPP1,Putative ATP-dependent RNA helicase DDX11-like protein 8 OS=Homo sapiens GN=DDX11L8 PE=1 SV=1,DDX11L8,20,35,907,101.746,7.47,15,0.999,1.087,0.866,0.823,0.465,0.277,0.186,0.131,0.13,0.135
A8MPS7,UPF0249 protein ydjC homolog OS=Homo sapiens GN=YDJC PE=1 SV=1,YDJC,9,16,323,34.444,6.39,9,0.999,0.98,0.981,0.929,0.75,0.479,0.318,0.203,0.158,0.099
A8MT02,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=4 SV=2,SNRPB,4,4,155,14.855,12.09,2,0.999,0.908,0.963,0.909,1.098,1.284,1.134,0.703,0.508,0.399
A8MT69,Centromere protein X OS=Homo sapiens GN=STRA13 PE=1 SV=1,STRA13,4,8,81,8.954,5.9,3,0.999,0.986,1.015,1.002,0.783,0.472,0.291,0.209,0.211,0.216
A8MT70,Zinc finger B-box domain-containing protein 1 OS=Homo sapiens GN=ZBBX PE=2 SV=3,ZBBX,1,1,800,91.369,5.59,1,0.999,0.933,0.878,0.819,0.573,0.259,0.154,0.113,0.088,0.089
A8MTY0,Putative zinc finger protein 724 OS=Homo sapiens GN=ZNF724P PE=5 SV=3,ZNF724P,3,4,619,71.126,9.11,1,0.999,1.033,0.718,0.529,0.363,0.199,0.124,0.073,0.048,0.109
A8MU27,Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=2 SV=1,SUMO3,15,365,147,16.946,9.67,29,0.999,1.002,1.01,0.885,0.78,0.579,0.578,0.512,0.453,0.442
A8MUH2,"ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens GN=ATP5J PE=3 SV=1",ATP5J,12,58,119,13.945,9.41,26,0.999,0.989,1.045,0.963,1.015,0.881,0.969,1.193,1.82,1.828
A8MUM1,Protein TSSC1 OS=Homo sapiens GN=TSSC1 PE=4 SV=2,TSSC1,27,69,414,46.29,5.07,27,0.999,0.989,0.974,0.875,0.689,0.531,0.265,0.118,0.102,0.094
A8MUU1,Putative fatty acid-binding protein 5-like protein 3 OS=Homo sapiens GN=FABP5P3 PE=5 SV=1,FABP5P3,3,12,101,11.292,7.8,1,0.999,1.013,1.078,1.199,0.933,0.789,0.554,0.353,0.258,0.219
A8MVW0,Protein FAM171A2 OS=Homo sapiens GN=FAM171A2 PE=1 SV=1,FAM171A2,1,2,826,87.381,8.05,1,0.999,1.043,1.078,0.989,0.833,0.769,0.544,0.363,0.278,0.219
A8MW92,PHD finger protein 20-like protein 1 OS=Homo sapiens GN=PHF20L1 PE=1 SV=2,PHF20L1,5,11,1017,114.938,6.83,3,0.999,0.92,0.781,0.712,0.566,0.349,0.198,0.123,0.108,0.112
A8MWD9,Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2,-,17,287,76,8.538,8.84,114,0.999,1.015,0.992,0.912,0.762,0.558,0.354,0.26,0.235,0.223
A8MXB7,Sorting nexin-24 OS=Homo sapiens GN=SNX24 PE=4 SV=1,SNX24,4,8,202,23.713,7.28,4,0.999,1.069,1.088,0.943,0.564,0.374,0.282,0.219,0.241,0.154
A8MXP9,Matrin-3 OS=Homo sapiens GN=MATR3 PE=2 SV=1,MATR3,68,269,895,99.905,6.04,38,0.999,0.902,0.702,0.389,0.277,0.133,0.021,0.047,0.061,0.072
A8MXQ7,Putative IQ motif and ankyrin repeat domain-containing protein LOC642574 OS=Homo sapiens PE=5 SV=2,-,2,7,604,68.253,6.52,3,0.999,1.146,1.101,0.946,0.843,0.662,0.661,0.719,0.481,0.502
A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1",NUDT19,31,115,375,42.207,7.64,53,0.999,0.985,1.003,0.899,0.777,0.476,0.231,0.109,0.098,0.085
A8MYK1,"39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=2 SV=1",MRPL23,3,9,191,21.829,11.62,4,0.999,0.903,0.838,0.619,0.483,0.229,0.104,0.093,0.078,0.079
A8MZ97,Uncharacterized protein C2orf74 OS=Homo sapiens GN=C2orf74 PE=2 SV=3,C2orf74,2,3,194,21.901,6.35,2,0.999,1.003,1.078,0.879,0.883,0.619,0.574,0.503,0.538,0.399
A8TX70,Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1,COL6A5,4,9,2615,289.744,6.95,4,0.999,0.963,0.997,0.971,0.874,0.669,0.623,0.613,0.565,0.578
A9J4F5,Zinc finger protein 593 OS=Homo sapiens GN=ZNF593 PE=2 SV=1,ZNF593,1,6,156,17.125,10.08,3,0.999,0.983,0.948,0.949,0.763,0.629,0.404,0.263,0.198,0.169
