Accession,Description,GeneName,Peptides,PSMs,AAs,MW.kDA,pI,QuantifyingPSMs,T37,T40,T43,T46,T49,T52,T55,T58,T61,T64
A1L188,Uncharacterized protein C17orf89 OS=Homo sapiens GN=C17orf89 PE=2 SV=1,C17orf89,9,20,74,7.751,9.32,10,0.992,0.894,0.915,0.957,0.946,0.854,0.719,0.491,0.366,0.481
A1L390,Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens GN=PLEKHG3 PE=1 SV=1,PLEKHG3,6,10,1219,134.329,6.55,4,0.992,1.044,0.865,0.689,0.481,0.378,0.275,0.176,0.194,0.182
A1X283,SH3 and PX domain-containing protein 2B OS=Homo sapiens GN=SH3PXD2B PE=1 SV=3,SH3PXD2B,73,174,911,101.516,8.69,78,0.992,1.008,0.829,0.632,0.38,0.239,0.165,0.122,0.109,0.079
A2A274,"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=2 SV=1",ACO2,92,353,805,87.765,7.37,169,0.992,0.971,1.022,0.922,0.573,0.273,0.172,0.124,0.113,0.086
A2A2Q9,Chromosome 20 open reading frame 4 OS=Homo sapiens GN=C20orf4 PE=4 SV=1,C20orf4,7,14,398,45.005,7.46,7,0.992,1.006,0.843,0.757,0.543,0.388,0.225,0.144,0.139,0.112
A2A2Z9,Ankyrin repeat domain-containing protein 18B OS=Homo sapiens GN=ANKRD18B PE=2 SV=1,ANKRD18B,4,7,1011,118.156,8.15,3,0.992,1.083,1.063,0.997,0.753,0.654,0.462,0.374,0.286,0.378
A2A3E7,Protocadherin-15 OS=Homo sapiens GN=PCDH15 PE=2 SV=1,PCDH15,2,7,1957,216.203,5.08,2,0.992,0.791,0.853,0.702,0.323,0.058,0.04,0.014,0.034,0.012
A2A3N6,Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens GN=PIPSL PE=5 SV=1,PIPSL,6,44,862,94.988,5.71,20,0.992,1.014,0.951,0.863,0.691,0.494,0.329,0.23,0.145,0.112
A2A3R5,40S ribosomal protein S6 OS=Homo sapiens GN=RPS6 PE=3 SV=1,RPS6,11,90,218,24.953,11.14,2,0.992,1.016,1.343,1.307,1.213,1.008,0.795,0.424,0.129,0.102
A2ABF9,Histone-lysine N-methyltransferase EHMT2 OS=Homo sapiens GN=EHMT2 PE=2 SV=1,EHMT2,17,41,1267,138.682,6.04,20,0.992,0.901,0.903,0.807,0.783,0.668,0.535,0.424,0.314,0.292
A2AEA2,"HLA class I histocompatibility antigen, Cw-14 alpha chain OS=Homo sapiens GN=HLA-C PE=3 SV=2",HLA,4,15,372,41.275,6.15,3,0.992,0.966,0.973,0.837,0.833,0.728,0.645,0.444,0.379,0.372
A2RTX5,"Probable threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens GN=TARSL2 PE=1 SV=1",TARSL2,11,24,802,92.586,6.05,3,0.992,0.979,1.019,0.82,0.603,0.418,0.279,0.23,0.216,0.172
A2RUB1,Uncharacterized protein C17orf104 OS=Homo sapiens GN=C17orf104 PE=2 SV=3,C17orf104,4,26,952,107.491,7.12,14,0.992,0.94,0.919,0.895,0.74,0.532,0.25,0.152,0.171,0.097
A2RUC4,tRNA wybutosine-synthesizing protein 5 OS=Homo sapiens GN=TYW5 PE=1 SV=1,TYW5,16,34,315,36.525,7.55,14,0.992,0.962,0.947,0.911,0.786,0.551,0.32,0.198,0.142,0.104
A2VCL2,Coiled-coil domain-containing protein 162 OS=Homo sapiens GN=CCDC162P PE=2 SV=3,CCDC162P,1,1,907,103.776,7.9,1,0.992,1.066,1.243,1.237,1.293,1.578,1.435,1.304,0.849,0.702
A3KMH1,von Willebrand factor A domain-containing protein 8 OS=Homo sapiens GN=VWA8 PE=1 SV=2,VWA8,48,95,1905,214.689,7.4,47,0.992,0.998,0.744,0.556,0.39,0.295,0.233,0.176,0.144,0.131
A3KN83,Protein strawberry notch homolog 1 OS=Homo sapiens GN=SBNO1 PE=1 SV=1,SBNO1,44,85,1393,154.216,7.88,39,0.992,1.025,0.784,0.692,0.48,0.261,0.18,0.127,0.131,0.078
A4D0S4,Laminin subunit beta-4 OS=Homo sapiens GN=LAMB4 PE=2 SV=1,LAMB4,1,1,1761,193.413,6.35,1,0.992,1.076,1.043,0.987,0.863,0.638,0.535,0.484,0.299,0.352
A4D0V7,Cadherin-like and PC-esterase domain-containing protein 1 OS=Homo sapiens GN=CPED1 PE=2 SV=1,CPED1,1,1,1026,117.416,8.09,1,0.992,0.666,0.863,0.707,0.913,0.538,0.615,0.484,0.439,0.512
A4D104,HCG19535 OS=Homo sapiens GN=LOC401307 PE=2 SV=1,LOC401307,8,10,137,15.19,4.48,5,0.992,0.98,0.977,0.855,0.773,0.628,0.439,0.39,0.249,0.252
A4D126,Isoprenoid synthase domain-containing protein OS=Homo sapiens GN=ISPD PE=1 SV=2,ISPD,1,2,451,49.841,6.25,1,0.992,1.076,1.263,1.217,1.153,1.098,0.875,0.634,0.739,0.602
A4D1E9,GTP-binding protein 10 OS=Homo sapiens GN=GTPBP10 PE=1 SV=1,GTPBP10,8,17,387,42.906,9.03,7,0.992,0.994,0.893,0.572,0.384,0.253,0.171,0.128,0.125,0.102
A4D1P6,Isoform 2 of WD repeat-containing protein 91 OS=Homo sapiens GN=WDR91,WDR91,8,13,636,71.307,7.31,7,0.992,1.007,0.91,0.689,0.463,0.338,0.244,0.178,0.152,0.112
A4D1U4,Protein LCHN OS=Homo sapiens GN=LCHN PE=2 SV=1,LCHN,3,5,455,51.413,5.31,3,0.992,1.161,1.068,0.982,0.593,0.498,0.27,0.179,0.169,0.137
A4D1W8,"Ependymin related protein 1 (Zebrafish), isoform CRA_b OS=Homo sapiens GN=UCC1 PE=4 SV=1",UCC1,8,19,344,38.126,9.58,9,0.992,0.845,1.02,0.911,0.856,0.725,0.727,0.653,0.629,0.707
A4D212,DKFZP586J0619 protein OS=Homo sapiens GN=DKFZP586J0619 PE=2 SV=1,DKFZP586J0619,10,19,2394,265.588,6.68,10,0.992,1.015,0.837,0.697,0.558,0.502,0.4,0.257,0.198,0.187
A4FU69,EF-hand calcium-binding domain-containing protein 5 OS=Homo sapiens GN=EFCAB5 PE=1 SV=3,EFCAB5,1,2,1503,173.295,5.82,1,0.992,1.066,1.003,0.997,0.693,0.758,0.535,0.644,0.579,0.722
A5A3E0,POTE ankyrin domain family member F OS=Homo sapiens GN=POTEF PE=1 SV=2,POTEF,16,575,1075,121.367,6.2,2,0.992,1.176,1.013,0.957,1.023,0.798,0.525,0.494,0.249,0.202
A5D8V6,Vacuolar protein sorting-associated protein 37C OS=Homo sapiens GN=VPS37C PE=1 SV=2,VPS37C,8,18,355,38.635,5.21,9,0.992,1.014,0.922,0.811,0.596,0.459,0.265,0.193,0.197,0.18
A5PLL1,Ankyrin repeat domain-containing protein 34B OS=Homo sapiens GN=ANKRD34B PE=2 SV=3,ANKRD34B,1,1,514,56.379,7.71,1,0.992,0.916,1.083,0.957,0.903,1.038,1.255,1.094,0.459,0.292
A5YKK6,CCR4-NOT transcription complex subunit 1 OS=Homo sapiens GN=CNOT1 PE=1 SV=2,CNOT1,75,173,2376,266.768,7.11,83,0.992,1.089,0.799,0.701,0.427,0.251,0.185,0.129,0.124,0.102
A5YM69,Rho guanine nucleotide exchange factor 35 OS=Homo sapiens GN=ARHGEF35 PE=1 SV=1,ARHGEF35,31,75,484,53.254,4.31,10,0.992,1.011,1.022,1.011,0.966,0.822,0.718,0.636,0.423,0.481
A6H8Y1,Transcription factor TFIIIB component B'' homolog OS=Homo sapiens GN=BDP1 PE=1 SV=3,BDP1,1,2,2624,293.705,5.11,1,0.992,0.946,0.823,0.807,0.883,0.878,0.685,0.614,0.189,0.132
A6NCC3,Golgin subfamily A member 8O OS=Homo sapiens GN=GOLGA8O PE=2 SV=3,GOLGA8O,4,11,632,71.492,6.39,3,0.992,1.099,0.929,0.907,0.743,0.484,0.179,0.144,0.113,0.085
A6NCE7,Microtubule-associated proteins 1A/1B light chain 3 beta 2 OS=Homo sapiens GN=MAP1LC3B2 PE=2 SV=1,MAP1LC3B2,10,27,125,14.619,8.68,13,0.992,0.981,0.985,0.877,0.729,0.502,0.309,0.212,0.16,0.133
A6NCI4,von Willebrand factor A domain-containing protein 3A OS=Homo sapiens GN=VWA3A PE=2 SV=3,VWA3A,1,2,1184,133.935,8.46,1,0.992,1.276,0.923,0.817,0.453,0.418,0.305,0.214,0.199,0.242
A6ND36,Protein FAM83G OS=Homo sapiens GN=FAM83G PE=1 SV=2,FAM83G,17,36,823,90.779,6.39,16,0.992,1.031,0.794,0.613,0.441,0.322,0.281,0.21,0.156,0.16
A6NDB9,Paralemmin-3 OS=Homo sapiens GN=PALM3 PE=1 SV=2,PALM3,13,25,673,71.652,4.53,9,0.992,0.932,0.965,0.963,0.971,0.875,0.707,0.563,0.32,0.235
A6NDG6,Phosphoglycolate phosphatase OS=Homo sapiens GN=PGP PE=1 SV=1,PGP,51,283,321,33.985,6.14,126,0.992,0.956,0.989,0.978,0.899,0.797,0.705,0.604,0.387,0.313
A6NDS4,TBC1 domain family member 3B OS=Homo sapiens GN=TBC1D3B PE=2 SV=1,TBC1D3B,1,1,549,62.275,9.06,1,0.992,1.106,1.033,0.927,0.683,0.458,0.285,0.204,0.159,0.172
A6NDU8,UPF0600 protein C5orf51 OS=Homo sapiens GN=C5orf51 PE=1 SV=1,C5orf51,10,28,294,33.599,5.26,12,0.992,0.989,0.784,0.653,0.436,0.285,0.226,0.184,0.155,0.133
A6NE01,Protein FAM186A OS=Homo sapiens GN=FAM186A PE=2 SV=3,FAM186A,1,1,2351,262.595,8.6,1,0.992,0.886,0.893,0.597,0.533,0.388,0.265,0.204,0.249,0.142
A6NE52,WD repeat-containing protein KIAA1875 OS=Homo sapiens GN=KIAA1875 PE=2 SV=2,KIAA1875,2,2,1622,180.192,7.61,1,0.992,1.366,1.283,1.417,1.123,0.978,0.495,0.534,0.389,0.152
A6NED2,RCC1 domain-containing protein 1 OS=Homo sapiens GN=RCCD1 PE=1 SV=1,RCCD1,12,24,376,40.054,5.27,11,0.992,0.958,0.857,0.764,0.68,0.457,0.304,0.204,0.151,0.124
A6NEM2,HCF N-terminal chain 5 OS=Homo sapiens GN=HCFC1 PE=4 SV=2,HCFC1,111,317,2080,213.343,7.33,91,0.992,0.968,0.919,0.854,0.727,0.554,0.363,0.245,0.167,0.141
A6NF51,"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=4 SV=2",BPNT1,14,76,291,31.687,5.54,1,0.992,1.126,1.093,0.957,0.893,0.908,0.855,0.914,0.489,0.482
A6NFI3,Zinc finger protein 316 OS=Homo sapiens GN=ZNF316 PE=1 SV=1,ZNF316,5,10,1004,108.37,5.31,5,0.992,1.008,0.901,0.666,0.487,0.321,0.237,0.188,0.18,0.154
A6NFM0,DNA-directed RNA polymerase II subunit RPB11-b1 OS=Homo sapiens GN=POLR2J2 PE=4 SV=1,POLR2J2,2,5,158,17.193,5.82,2,0.992,0.936,0.883,0.697,0.493,0.268,0.215,0.174,0.129,0.082
A6NFT4,Coiled-coil domain-containing protein 42B OS=Homo sapiens GN=CCDC42B PE=2 SV=3,CCDC42B,1,1,308,35.892,7.52,1,0.992,1.116,0.943,0.797,0.583,0.458,0.345,0.274,0.189,0.182
A6NFV8,Dysbindin OS=Homo sapiens GN=DTNBP1 PE=2 SV=2,DTNBP1,7,22,352,39.611,4.67,10,0.992,0.984,0.823,0.745,0.599,0.48,0.345,0.208,0.137,0.128
A6NFX8,ADP-sugar pyrophosphatase OS=Homo sapiens GN=NUDT5 PE=2 SV=1,NUDT5,24,179,232,25.879,5.19,97,0.992,0.949,1.017,0.943,0.927,0.833,0.771,0.702,0.565,0.652
A6NFY7,"Succinate dehydrogenase assembly factor 1, mitochondrial OS=Homo sapiens GN=SDHAF1 PE=1 SV=1",SDHAF1,1,2,115,12.799,11.39,1,0.992,0.756,0.443,1.247,0.233,0.438,0.335,0.434,0.219,0.382
A6NGJ0,Dynein light chain Tctex-type 3 OS=Homo sapiens GN=DYNLT3 PE=4 SV=1,DYNLT3,4,10,152,16.968,5.92,5,0.992,0.976,0.881,0.777,0.629,0.432,0.325,0.258,0.177,0.118
A6NHB5,Zinc finger MYM-type protein 3 OS=Homo sapiens GN=ZMYM3 PE=4 SV=1,ZMYM3,1,4,1372,152.508,6.35,2,0.992,1.026,0.943,0.877,0.813,0.708,0.635,0.524,0.319,0.282
A6NHL2,Tubulin alpha chain-like 3 OS=Homo sapiens GN=TUBAL3 PE=1 SV=2,TUBAL3,11,204,446,49.877,6.05,11,0.992,0.961,0.873,0.872,0.813,0.683,0.525,0.369,0.179,0.097
A6NHR9,Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens GN=SMCHD1 PE=1 SV=2,SMCHD1,101,201,2005,226.231,7.3,95,0.992,0.884,0.418,0.296,0.245,0.149,0.126,0.091,0.1,0.07
A6NHU9,SH3 and multiple ankyrin repeat domains protein 2 OS=Homo sapiens GN=SHANK2 PE=4 SV=3,SHANK2,1,2,1850,201.214,6.86,1,0.992,0.836,0.773,0.497,0.583,0.368,0.345,0.214,0.149,0.442
A6NHX0,GATS-like protein 2 OS=Homo sapiens GN=GATSL2 PE=2 SV=3,GATSL2,6,11,329,36.034,5.16,5,0.992,1.046,0.962,0.858,0.7,0.615,0.454,0.384,0.197,0.128
A6NI28,Rho GTPase-activating protein 42 OS=Homo sapiens GN=ARHGAP42 PE=1 SV=3,ARHGAP42,2,3,874,98.507,7.99,1,0.992,1.046,1.073,0.927,0.783,0.618,0.585,0.504,0.429,0.462
A6NI56,Coiled-coil domain-containing protein 154 OS=Homo sapiens GN=CCDC154 PE=2 SV=4,CCDC154,1,1,674,75.966,8.38,1,0.992,0.766,0.743,0.517,0.483,0.308,0.275,0.184,0.179,0.172
A6NIH7,Protein unc-119 homolog B OS=Homo sapiens GN=UNC119B PE=1 SV=1,UNC119B,17,42,251,28.119,5.68,18,0.992,0.925,0.85,0.692,0.427,0.257,0.167,0.134,0.119,0.101
A6NJ16,Putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8 OS=Homo sapiens GN=IGHV4OR15-8 PE=5 SV=2,IGHV4OR15,3,4,123,13.576,9.6,4,0.992,0.874,0.934,0.843,0.541,0.163,0.068,0.035,0.039,0.007
A6NJ78,Probable methyltransferase-like protein 15 OS=Homo sapiens GN=METTL15 PE=2 SV=1,METTL15,17,45,407,46.092,8.62,20,0.992,0.99,0.815,0.533,0.316,0.193,0.156,0.105,0.116,0.087
A6NJT0,Homeobox protein unc-4 homolog OS=Homo sapiens GN=UNCX PE=2 SV=1,UNCX,1,1,531,53.657,7.2,1,0.992,1.036,0.833,0.847,0.613,0.568,0.375,0.184,0.119,0.092
A6NK75,Zinc finger protein 98 OS=Homo sapiens GN=ZNF98 PE=2 SV=4,ZNF98,4,5,572,65.756,9.17,3,0.992,1.006,0.743,0.647,0.478,0.303,0.265,0.239,0.179,0.167
A6NKC9,SH2 domain-containing protein 7 OS=Homo sapiens GN=SH2D7 PE=2 SV=2,SH2D7,1,2,451,49.776,6.42,1,0.992,0.926,0.843,0.617,0.413,0.278,0.215,0.144,0.159,0.102
A6NKD9,Coiled-coil domain-containing protein 85C OS=Homo sapiens GN=CCDC85C PE=1 SV=1,CCDC85C,12,22,419,45.182,6.96,10,0.992,1.091,0.861,0.795,0.593,0.45,0.346,0.265,0.251,0.249
A6NKF1,SAC3 domain-containing protein 1 OS=Homo sapiens GN=SAC3D1 PE=1 SV=2,SAC3D1,4,8,404,43.526,8.69,4,0.992,0.971,0.868,0.632,0.423,0.283,0.235,0.159,0.149,0.122
A6NKG5,Retrotransposon-like protein 1 OS=Homo sapiens GN=RTL1 PE=2 SV=3,RTL1,2,7,1358,154.95,5.21,3,0.992,1.091,1.138,0.912,0.478,0.253,0.18,0.104,0.109,0.077
A6NMN0,"Phosphorylase b kinase regulatory subunit alpha, skeletal muscle isoform OS=Homo sapiens GN=PHKA1 PE=2 SV=1",PHKA1,6,12,1240,138.965,6.18,5,0.992,0.998,0.787,0.573,0.315,0.204,0.133,0.08,0.105,0.068
A6NMQ1,DNA polymerase OS=Homo sapiens GN=POLA1 PE=2 SV=1,POLA1,67,147,1468,166.351,5.81,67,0.992,0.985,0.817,0.622,0.326,0.17,0.13,0.102,0.105,0.075
A6NMZ7,Collagen alpha-6(VI) chain OS=Homo sapiens GN=COL6A6 PE=1 SV=2,COL6A6,7,13,2263,247.019,6.89,5,0.992,1.004,1.005,0.957,0.989,0.874,0.773,0.642,0.479,0.536
A6NNM8,Tubulin polyglutamylase TTLL13 OS=Homo sapiens GN=TTLL13 PE=1 SV=2,TTLL13,3,15,815,93.585,8.91,3,0.992,0.896,0.873,0.702,0.578,0.368,0.29,0.199,0.149,0.117
A6NNU8,Nuclear receptor subfamily 0 group B member 1 OS=Homo sapiens GN=NR0B1 PE=2 SV=1,NR0B1,3,3,105,11.792,8.31,3,0.992,1.079,0.993,0.693,0.62,0.458,0.282,0.227,0.176,0.142
A6NNY8,Ubiquitin carboxyl-terminal hydrolase 27 OS=Homo sapiens GN=USP27X PE=2 SV=3,USP27X,3,6,438,49.598,7.18,2,0.992,0.996,0.623,0.637,0.453,0.298,0.235,0.154,0.119,0.102
A6NNZ2,Tubulin beta-8 chain-like protein LOC260334 OS=Homo sapiens PE=1 SV=1,-,11,478,444,49.541,4.86,5,0.992,0.966,0.723,0.737,0.683,0.568,0.495,0.354,0.169,0.082
A6PVN5,"Protein phosphatase 2A activator, regulatory subunit 4 OS=Homo sapiens GN=PPP2R4 PE=4 SV=1",PPP2R4,38,156,329,37.352,6.29,49,0.992,1.001,0.978,0.914,0.801,0.667,0.432,0.174,0.129,0.088
A6QL63,Ankyrin repeat and BTB/POZ domain-containing protein BTBD11 OS=Homo sapiens GN=BTBD11 PE=2 SV=3,BTBD11,1,2,1104,120.807,6.83,1,0.992,0.936,0.873,0.787,0.713,0.578,0.475,0.284,0.169,0.062
A7KAX9,Rho GTPase-activating protein 32 OS=Homo sapiens GN=ARHGAP32 PE=1 SV=1,ARHGAP32,14,28,2087,230.385,6.74,12,0.992,1.014,0.844,0.758,0.635,0.414,0.295,0.166,0.118,0.113
A8K7Q2,Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=2 SV=1,HSPA8,98,3290,410,45.31,5.64,503,0.992,0.985,0.957,0.898,0.752,0.592,0.391,0.203,0.124,0.081
A8K8G0,Hepatoma-derived growth factor OS=Homo sapiens GN=HDGF PE=2 SV=1,HDGF,22,259,208,22.95,4.55,1,0.992,1.026,1.123,1.137,1.263,0.968,0.795,0.684,0.349,0.442
A8K979,ERI1 exoribonuclease 2 OS=Homo sapiens GN=ERI2 PE=2 SV=2,ERI2,2,3,691,77.351,8.9,1,0.992,1.426,1.393,1.467,1.563,1.378,0.915,0.504,0.149,0.092
A8MPP1,Putative ATP-dependent RNA helicase DDX11-like protein 8 OS=Homo sapiens GN=DDX11L8 PE=1 SV=1,DDX11L8,4,9,907,101.746,7.47,4,0.992,0.896,0.463,0.447,0.323,0.208,0.145,0.114,0.119,0.112
A8MPS7,UPF0249 protein ydjC homolog OS=Homo sapiens GN=YDJC PE=1 SV=1,YDJC,3,5,323,34.444,6.39,3,0.992,0.939,0.913,0.903,0.81,0.694,0.455,0.26,0.169,0.135
A8MQ07,Rap guanine nucleotide exchange factor 5 OS=Homo sapiens GN=RAPGEF5 PE=4 SV=3,RAPGEF5,1,1,730,84.676,6.01,1,0.992,0.966,0.963,0.827,0.763,0.688,0.555,0.684,0.409,0.352
A8MT02,Small nuclear ribonucleoprotein-associated proteins B and B' OS=Homo sapiens GN=SNRPB PE=4 SV=2,SNRPB,1,1,155,14.855,12.09,1,0.992,0.936,1.123,1.007,0.943,0.898,0.905,0.764,0.309,0.492
A8MT69,Centromere protein X OS=Homo sapiens GN=STRA13 PE=1 SV=1,STRA13,2,4,81,8.954,5.9,2,0.992,1.066,0.973,0.852,0.618,0.413,0.28,0.184,0.149,0.117
A8MT70,Isoform 2 of Zinc finger B-box domain-containing protein 1 OS=Homo sapiens GN=ZBBX,ZBBX,1,2,839,95.721,5.57,1,0.992,2.726,5.823,4.307,8.303,5.418,1.225,0.104,0.209,0.052
A8MTY0,Putative zinc finger protein 724 OS=Homo sapiens GN=ZNF724P PE=5 SV=3,ZNF724P,2,4,619,71.126,9.11,1,0.992,1.106,0.603,0.327,0.213,0.108,0.075,0.074,0.049,0.062
A8MU27,Small ubiquitin-related modifier 3 OS=Homo sapiens GN=SUMO3 PE=2 SV=1,SUMO3,14,231,147,16.946,9.67,12,0.992,0.991,0.943,0.942,0.836,0.77,0.733,0.764,0.467,0.692
A8MUH2,"ATP synthase-coupling factor 6, mitochondrial OS=Homo sapiens GN=ATP5J PE=3 SV=1",ATP5J,7,30,119,13.945,9.41,15,0.992,1.046,1.438,1.487,1.228,1.343,1.515,1.719,1.049,2.962
A8MUK1,Ubiquitin carboxyl-terminal hydrolase 17-like protein 5 OS=Homo sapiens GN=USP17L5 PE=3 SV=2,USP17L5,1,1,530,59.645,8.07,1,0.992,0.846,0.923,0.787,0.813,0.568,0.485,0.154,0.089,0.072
A8MUM1,Protein TSSC1 OS=Homo sapiens GN=TSSC1 PE=4 SV=2,TSSC1,28,70,414,46.29,5.07,31,0.992,0.956,0.948,0.856,0.728,0.571,0.332,0.162,0.125,0.087
A8MUU1,Putative fatty acid-binding protein 5-like protein 3 OS=Homo sapiens GN=FABP5P3 PE=5 SV=1,FABP5P3,4,39,101,11.292,7.8,2,0.992,1.016,1.063,1.127,1.063,0.968,0.785,0.534,0.239,0.162
A8MVW0,Protein FAM171A2 OS=Homo sapiens GN=FAM171A2 PE=1 SV=1,FAM171A2,5,9,826,87.381,8.05,4,0.992,1.06,1.054,1.037,1.042,0.949,0.672,0.376,0.25,0.194
A8MVX0,Isoform 2 of Rho guanine nucleotide exchange factor 33 OS=Homo sapiens GN=ARHGEF33,ARHGEF33,2,3,870,97.463,6.81,3,0.992,1.493,2.276,1.62,2.463,1.361,0.352,0.264,0.226,0.222
A8MWD9,Small nuclear ribonucleoprotein G-like protein OS=Homo sapiens PE=3 SV=2,-,19,179,76,8.538,8.84,75,0.992,0.933,0.998,0.878,0.76,0.603,0.457,0.359,0.253,0.247
A8MX12,Myomesin-1 OS=Homo sapiens GN=MYOM1 PE=2 SV=2,MYOM1,1,2,1685,187.644,6.98,1,0.992,0.956,1.073,1.077,0.933,0.988,0.675,0.444,0.289,0.232
A8MXH5,Collagen alpha-6(IV) chain OS=Homo sapiens GN=COL4A6 PE=2 SV=1,COL4A6,1,2,1691,165.214,9.19,1,0.992,1.146,1.123,1.027,0.943,0.638,0.585,0.414,0.159,0.132
A8MXP9,Matrin-3 OS=Homo sapiens GN=MATR3 PE=2 SV=1,MATR3,56,155,895,99.905,6.04,67,0.992,0.836,0.581,0.413,0.314,0.218,0.181,0.157,0.127,0.115
A8MXQ7,Putative IQ motif and ankyrin repeat domain-containing protein LOC642574 OS=Homo sapiens PE=5 SV=2,-,1,2,604,68.253,6.52,2,0.992,1.146,0.883,0.977,0.793,0.788,0.635,0.704,0.289,0.402
A8MXV4,"Nucleoside diphosphate-linked moiety X motif 19, mitochondrial OS=Homo sapiens GN=NUDT19 PE=1 SV=1",NUDT19,22,68,375,42.207,7.64,31,0.992,0.965,1.003,0.965,0.829,0.583,0.32,0.201,0.149,0.1
A8MYJ7,Tetratricopeptide repeat protein 34 OS=Homo sapiens GN=TTC34 PE=2 SV=2,TTC34,2,2,566,60.865,7.33,1,0.992,1.126,1.323,1.087,1.163,1.048,0.765,0.674,0.349,0.382
A8MYK1,"39S ribosomal protein L23, mitochondrial OS=Homo sapiens GN=MRPL23 PE=2 SV=1",MRPL23,6,17,191,21.829,11.62,8,0.992,0.94,0.893,0.713,0.511,0.268,0.173,0.141,0.098,0.077
A8MYX2,Protein FAM25D/E OS=Homo sapiens GN=FAM25D PE=2 SV=2,FAM25D,1,2,175,18.333,6.71,1,0.992,1.166,0.863,0.967,0.933,0.798,0.625,0.514,0.469,0.362
A8TX70,Collagen alpha-5(VI) chain OS=Homo sapiens GN=COL6A5 PE=1 SV=1,COL6A5,1,4,2615,289.744,6.95,2,0.992,0.896,0.973,0.877,0.863,0.818,0.625,0.464,0.429,0.452
B0QY89,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens GN=EIF3EIP PE=4 SV=1,EIF3EIP,76,459,607,70.857,6.65,211,0.992,0.998,0.94,0.659,0.487,0.297,0.157,0.104,0.103,0.072
B0QYN7,SUMO-conjugating enzyme UBC9 OS=Homo sapiens GN=UBE2I PE=3 SV=1,UBE2I,23,203,184,20.444,8.46,102,0.992,0.956,0.925,0.851,0.677,0.373,0.177,0.107,0.098,0.059
B0QZ18,Copine-1 OS=Homo sapiens GN=CPNE1 PE=2 SV=1,CPNE1,36,151,542,59.68,6.04,73,0.992,0.966,0.908,0.818,0.62,0.339,0.175,0.111,0.105,0.079
